HUMAN DATE TIME,NODE TIME(SET),NODE TIME(SET),PITCH,LAT,LON,STRUCTURE HEIGHT,MODULE LENGTH,TIMEZONE,DEGREE DELTA,PWM DUTYCYCLE(%),VOLTAGE LIMIT,CURRENT LIMIT,NIGHT STOWINGANGLE,NUMBER OF ROWS,WIND,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED
Thu Sep 7 00:19:34 2017,22960,17214,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,17214,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,17214,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,17214,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,17214,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,17214,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:19:34 2017,22960,17214,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,17214,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,17214,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,17214,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,17214,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,17214,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:23:35 2017,22960,17455,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,17455,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,17455,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,17455,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,17455,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,17455,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:23:35 2017,22960,17455,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,17455,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,17455,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,17455,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,17455,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,17455,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:27:36 2017,22960,17696,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,17696,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,17696,17800,40,207,2700,17760,22959,62919,0,0,0,187,228,22960,17696,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,17696,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,17696,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:27:36 2017,22960,17696,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,17696,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,17696,17800,40,207,2700,17760,22959,62919,0,0,0,187,228,22960,17696,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,17696,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,17696,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:31:37 2017,22960,17937,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,17937,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,17937,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,17937,17800,20,134,2700,17780,22959,62934,0,0,0,5,169,22960,17937,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,17937,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 00:31:37 2017,22960,17937,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,17937,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,17937,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,17937,17800,20,134,2700,17780,22959,62934,0,0,0,5,169,22960,17937,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,17937,17800,0,207,2700,17800,22959,62953,0,0,0,181,246,
Thu Sep 7 00:35:37 2017,22960,18177,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,18177,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,18177,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,18177,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,18177,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,18177,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:35:37 2017,22960,18177,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,18177,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,18177,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,18177,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,18177,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,18177,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
