HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Thu Sep 7 03:40:14 2017,168,207,134,114,207
Thu Sep 7 03:44:15 2017,168,207,134,114,207
Thu Sep 7 03:44:15 2017,168,207,134,114,207
Thu Sep 7 03:48:16 2017,168,207,134,114,207
Thu Sep 7 03:48:16 2017,168,207,134,114,207
Thu Sep 7 03:52:17 2017,168,207,134,114,207
Thu Sep 7 03:52:17 2017,168,207,134,114,207
Thu Sep 7 03:56:18 2017,168,207,134,114,207
Thu Sep 7 03:56:18 2017,168,207,134,114,207
Thu Sep 7 04:00:19 2017,168,207,134,114,207
Thu Sep 7 04:00:19 2017,168,207,134,114,207
Thu Sep 7 04:04:19 2017,168,207,134,114,207
Thu Sep 7 04:04:19 2017,168,207,134,114,207
Thu Sep 7 04:08:20 2017,168,207,134,114,207
Thu Sep 7 04:08:20 2017,168,207,134,114,207
Thu Sep 7 04:12:21 2017,168,207,134,114,207
Thu Sep 7 04:12:21 2017,168,207,134,114,207
Thu Sep 7 04:16:22 2017,168,207,134,114,207
Thu Sep 7 04:16:22 2017,168,207,134,114,207
Thu Sep 7 04:20:23 2017,168,207,134,114,207
Thu Sep 7 04:20:23 2017,168,207,134,114,207
Thu Sep 7 04:24:24 2017,168,207,134,114,207
Thu Sep 7 04:24:24 2017,168,207,134,114,207
Thu Sep 7 04:28:24 2017,168,207,134,114,207
Thu Sep 7 04:28:24 2017,168,207,134,114,207
Thu Sep 7 04:32:25 2017,168,207,134,114,207
Thu Sep 7 04:32:25 2017,168,207,134,114,207
Thu Sep 7 04:36:26 2017,168,207,134,114,207
Thu Sep 7 04:36:26 2017,168,207,134,114,207
Thu Sep 7 04:40:27 2017,168,207,134,114,207
Thu Sep 7 04:40:27 2017,168,207,134,114,207
Thu Sep 7 04:44:28 2017,168,207,134,114,207
Thu Sep 7 04:44:28 2017,168,207,134,114,207
Thu Sep 7 04:48:29 2017,168,207,134,114,207
Thu Sep 7 04:48:29 2017,168,207,134,114,207
Thu Sep 7 04:52:29 2017,168,207,134,114,207
Thu Sep 7 04:52:29 2017,168,207,134,114,207
Thu Sep 7 04:56:30 2017,168,207,134,114,207
Thu Sep 7 04:56:30 2017,168,207,134,114,207
Thu Sep 7 05:00:31 2017,168,207,134,114,207
Thu Sep 7 05:00:31 2017,168,207,134,114,207
Thu Sep 7 05:04:32 2017,168,207,134,114,207
Thu Sep 7 05:04:32 2017,168,207,134,114,207
Thu Sep 7 05:08:33 2017,168,207,134,114,207
Thu Sep 7 05:08:33 2017,168,207,134,114,207
Thu Sep 7 05:12:34 2017,168,207,134,114,207
Thu Sep 7 05:12:34 2017,168,207,134,114,207
Thu Sep 7 05:16:35 2017,168,207,134,114,207
Thu Sep 7 05:16:35 2017,168,207,134,114,207
Thu Sep 7 05:20:35 2017,168,207,134,114,207
Thu Sep 7 05:20:35 2017,168,207,134,114,207
Thu Sep 7 05:24:36 2017,168,207,134,114,207
Thu Sep 7 05:24:36 2017,168,207,134,114,207
Thu Sep 7 05:28:37 2017,168,207,134,114,207
Thu Sep 7 05:28:37 2017,168,207,134,114,207
Thu Sep 7 05:32:38 2017,168,207,134,114,207
Thu Sep 7 05:32:38 2017,168,207,134,114,207
Thu Sep 7 05:36:39 2017,168,207,134,114,207
Thu Sep 7 05:36:39 2017,168,207,134,114,207
Thu Sep 7 05:40:40 2017,168,207,134,114,207
Thu Sep 7 05:40:40 2017,168,207,134,114,207
Thu Sep 7 05:44:41 2017,168,207,134,114,207
Thu Sep 7 05:44:41 2017,168,207,134,114,207
Thu Sep 7 05:48:41 2017,168,207,134,114,207
Thu Sep 7 05:48:41 2017,168,207,134,114,207
Thu Sep 7 05:52:42 2017,168,207,134,114,207
Thu Sep 7 05:52:42 2017,168,207,134,114,207
Thu Sep 7 05:56:43 2017,168,207,134,114,207
Thu Sep 7 05:56:43 2017,168,207,134,114,207
Thu Sep 7 06:00:44 2017,168,207,134,114,207
Thu Sep 7 06:00:44 2017,168,207,134,114,207
Thu Sep 7 06:04:45 2017,168,207,134,114,207
Thu Sep 7 06:04:45 2017,168,207,134,114,207
Thu Sep 7 06:08:46 2017,168,207,134,114,207
Thu Sep 7 06:08:46 2017,168,207,134,114,207
Thu Sep 7 06:12:46 2017,168,207,134,114,207
Thu Sep 7 06:12:46 2017,168,207,134,114,207
Thu Sep 7 06:16:47 2017,168,207,134,114,207
Thu Sep 7 06:16:47 2017,168,207,134,114,207
Thu Sep 7 06:20:48 2017,168,207,134,114,207
Thu Sep 7 06:20:48 2017,168,207,134,114,207
Thu Sep 7 06:24:49 2017,56,109,44,55,85
Thu Sep 7 06:24:49 2017,56,109,44,55,85
Thu Sep 7 06:28:50 2017,56,109,44,55,85
Thu Sep 7 06:28:50 2017,56,109,44,55,85
Thu Sep 7 06:32:51 2017,126,149,88,70,123
Thu Sep 7 06:32:51 2017,126,149,88,70,123
Thu Sep 7 06:36:52 2017,126,149,88,70,123
Thu Sep 7 06:36:52 2017,126,149,88,70,123
Thu Sep 7 06:40:52 2017,158,198,135,109,196
Thu Sep 7 06:40:52 2017,158,198,135,109,196
Thu Sep 7 06:44:53 2017,158,198,135,109,196
Thu Sep 7 06:44:53 2017,158,198,135,109,196
Thu Sep 7 06:48:54 2017,147,184,118,93,181
Thu Sep 7 06:48:54 2017,147,184,118,93,181
Thu Sep 7 06:52:55 2017,147,184,118,93,181
Thu Sep 7 06:52:55 2017,147,184,118,93,181
Thu Sep 7 06:56:56 2017,144,176,111,102,152
Thu Sep 7 06:56:56 2017,144,176,111,102,152
Thu Sep 7 07:00:57 2017,144,176,111,102,152
Thu Sep 7 07:00:57 2017,144,176,111,102,152
Thu Sep 7 07:04:58 2017,144,167,111,102,152
Thu Sep 7 07:04:58 2017,144,167,111,102,152
Thu Sep 7 07:08:58 2017,134,167,111,94,144
Thu Sep 7 07:08:58 2017,134,167,111,94,144
Thu Sep 7 07:08:58 2017,134,167,111,94,144
Thu Sep 7 07:08:58 2017,134,167,111,94,144
Thu Sep 7 07:17:00 2017,133,161,118,83,131
Thu Sep 7 07:17:00 2017,133,161,118,83,131
