HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Mon Oct 9 09:29:58 2017,50,782,64,55,117
Tue Oct 10 05:37:58 2017,155,782,16,136,225
Tue Oct 10 05:37:58 2017,155,782,16,136,225
Tue Oct 10 05:53:58 2017,155,782,16,136,225
Tue Oct 10 05:53:58 2017,155,782,16,136,225
Tue Oct 10 05:57:58 2017,155,782,16,136,225
Tue Oct 10 05:57:58 2017,155,782,16,136,225
Tue Oct 10 06:01:59 2017,155,782,16,136,225
Tue Oct 10 06:01:59 2017,155,782,16,136,225
Tue Oct 10 06:06:00 2017,155,782,16,136,225
Tue Oct 10 06:06:00 2017,155,782,16,136,225
Tue Oct 10 06:10:01 2017,155,782,16,136,225
Tue Oct 10 06:10:01 2017,155,782,16,136,225
Tue Oct 10 06:14:02 2017,155,782,16,136,225
Tue Oct 10 06:14:02 2017,155,782,16,136,225
Tue Oct 10 06:18:03 2017,155,782,16,136,225
Tue Oct 10 06:18:03 2017,155,782,16,136,225
Tue Oct 10 06:22:04 2017,155,782,16,136,225
Tue Oct 10 06:22:04 2017,155,782,16,136,225
Tue Oct 10 06:26:05 2017,155,782,16,136,225
Tue Oct 10 06:26:05 2017,155,782,16,136,225
Tue Oct 10 06:30:06 2017,155,782,16,136,225
Tue Oct 10 06:30:06 2017,155,782,16,136,225
Tue Oct 10 06:34:07 2017,155,782,16,136,225
Tue Oct 10 06:34:07 2017,155,782,16,136,225
Tue Oct 10 06:34:07 2017,155,782,16,136,225
Tue Oct 10 06:34:07 2017,155,782,16,136,225
Tue Oct 10 06:42:09 2017,120,782,16,93,225
Tue Oct 10 06:42:09 2017,120,782,16,93,225
Tue Oct 10 06:46:10 2017,82,782,16,93,225
Tue Oct 10 06:46:10 2017,82,782,16,93,225
Tue Oct 10 06:50:11 2017,82,782,16,52,225
Tue Oct 10 06:50:11 2017,82,782,16,52,225
Tue Oct 10 06:54:12 2017,82,782,16,52,225
Tue Oct 10 06:54:12 2017,82,782,16,52,225
Tue Oct 10 06:58:13 2017,166,782,57,84,111
Tue Oct 10 06:58:13 2017,166,782,57,84,111
Tue Oct 10 07:02:14 2017,166,782,57,84,146
Tue Oct 10 07:02:14 2017,166,782,57,84,146
